,Date,Spenditure,Deflactor,Spenditure_real
92,2019-09-01,3257047.9,0.9620750033672626,3133524.3693598355
93,2019-10-01,3578880.1,0.9569103279331694,3424667.330124494
94,2019-11-01,3923633.7,0.9492529379378429,3724520.817116929
95,2019-12-01,4504813.5,0.9439839900315291,4252471.822077897
96,2020-01-01,419284.2,0.9394346482286959,393890.1049348502
97,2020-02-01,773808.7,0.9355499630457765,723936.7006895003
98,2020-03-01,1187173.5,0.9359965555326757,1111190.306819671
99,2020-04-01,1569096.6,0.9455817691834901,1483709.1390477992
100,2020-05-01,1890370.0,0.9419566323166481,1780646.559032422
101,2020-06-01,2342212.4,0.9368295813308601,2194253.862079949
102,2020-07-01,2713202.3,0.9307173969695841,2525224.5821078885
103,2020-08-01,2992629.3,0.9270675924981691,2774369.640390481
104,2020-09-01,3303777.2,0.9249495902473315,3055827.3674084763
105,2020-10-01,3669680.9,0.9193373416441429,3373674.683288286
106,2020-11-01,4030673.4,0.9186448151686633,3702757.2205482475
107,2020-12-01,4682212.1,0.915155896807021,4284954.013416185
108,2021-01-01,407201.8,0.9073586788857636,369478.0872879049
109,2021-02-01,832108.1,0.9016563427015427,750275.5461783295
110,2021-03-01,1293223.9,0.8942624123622837,1156481.5245385605
111,2021-04-01,1680273.2,0.8913450396648542,1497703.1821017915
112,2021-05-01,2015365.0,0.8895293500209039,1792726.318504879
113,2021-06-01,2519419.6,0.8848148082606311,2229219.770302076
114,2021-07-01,2856164.4,0.8796467338716771,2512415.6858605584
115,2021-08-01,3206374.1,0.8779708338089008,2815102.942080264
116,2021-09-01,3587237.6,0.8725927347928901,3130197.467735884
117,2021-10-01,3953488.8,0.865343844376563,3421127.1968916846
118,2021-11-01,4379641.8,0.855549091406865,3746998.5626775264
119,2021-12-01,5141301.0,0.8524567804412316,4382736.897739285
120,2022-01-01,476740.2,0.8474432636734971,404010.27101235575
121,2022-02-01,931994.0,0.8404703271950984,783313.3021238685
122,2022-03-01,1435028.7,0.8322306277515624,1194274.8358425086
123,2022-04-01,1853559.8,0.8277528992045294,1534289.4982989677
124,2022-05-01,2232041.5,0.826296045347127,1844327.0645006693
125,2022-06-01,2758952.0,0.8193766182688211,2260620.7597260005
126,2022-07-01,3205943.4,0.8133519862055504,2607560.432052575
127,2022-08-01,3595200.8,0.8077348691065644,2903969.0475998158
128,2022-09-01,4069150.5,0.802755055349961,3266531.1348548215
129,2022-10-01,4510329.8,0.7982374916185063,3600314.345924199
130,2022-11-01,4994861.1,0.7936696905481877,3964269.8635681802
131,2022-12-01,5780482.2,0.7906513385727162,4570345.9890257595
132,2023-01-01,572371.7,0.785323867562983,449497.1571275994
133,2023-02-01,1022847.7,0.7809693391437452,798812.6923136998
134,2023-03-01,1557463.7,0.7788829261073767,1213081.8839620214
135,2023-04-01,2015437.4,0.7790406892952019,1570107.7413273293
136,2023-05-01,2552503.6,0.7807376409231441,1992835.6391118327
137,2023-06-01,3202289.6,0.7799460277348808,2497613.05317672
138,2023-07-01,3742819.3,0.7762046696472926,2905193.8183060107
139,2023-08-01,4181079.0,0.7719325330966075,3227510.9035470304
140,2023-09-01,4720029.2,0.7685213648939441,3627443.283123271
141,2023-10-01,5257356.4,0.7656440214686583,4025263.4963899883
142,2023-11-01,5728077.9,0.7607744684088402,4357775.4193769265
143,2023-12-01,6436129.7,0.7554410642653714,4862116.670317966
144,2024-01-01,747325.4,0.7487551944891617,559563.7752236906
145,2024-02-01,1478194.7,0.7480494610303633,1105762.7486329395
146,2024-03-01,2019113.4,0.7459068362361542,1506070.4881960244
147,2024-04-01,2566698.6,0.7444020962363029,1910655.8182467842
148,2024-05-01,3166253.6,0.7457844533772849,2361342.7103298604
149,2024-06-01,3828771.7,0.7429751697698264,2844682.3038174068
150,2024-07-01,4403839.4,0.7352778982816556,3238045.7784019476
151,2024-08-01,4881896.1,0.7352238388977524,3589286.391741966
